lower,upper,Data.Category,CMO/ABS,Equity,FixedIncome,ListDer,MtgePool,Municipal,CurveTenor
1,25,SecMaster,366,261,523,209,78,235,40
26,50,SecMaster,732,523,"1,045",418,157,470,115
51,100,SecMaster,"1,463","1,045","1,829",836,314,941,225
101,250,SecMaster,"3,658","2,613","3,658","2,090",784,"2,351",525
251,500,SecMaster,"7,315","5,225","7,315","4,180","1,306","4,703","1,125"
501,1000,SecMaster,"14,630","10,450","14,630","8,360","2,613","9,405","2,250"
1001,2500,SecMaster,"36,575","26,125","36,575","15,675","6,531","23,513","4,725"
2501,5000,SecMaster,"73,150","52,250","73,150","31,350","13,063","47,025","10,125"
5001,7500,SecMaster,"109,725","78,375","109,725","47,025","19,594","70,538","16,875"
7501,10000,SecMaster,"146,300","104,500","146,300","62,700","26,125","94,050","23,625"
10001,15000,SecMaster,"219,450","130,625","219,450","94,050","39,188","141,075","30,375"
15001,20000,SecMaster,"292,600","156,750","292,600","125,400","52,250","188,100","42,525"
20001,25000,SecMaster,"365,750","182,875","365,750","156,750","65,313","235,125","54,675"
25001,30000,SecMaster,"438,900","209,000","438,900","188,100","78,375","282,150","66,825"
30001,40000,SecMaster,"585,200","261,250","585,200","250,800","104,500","313,500","85,050"
40001,50000,SecMaster,"731,500","313,500","731,500","282,150","130,625","339,625","109,350"
50001,100000,SecMaster,"783,750","391,875","940,500","313,500","209,000","365,750","182,250"
1,25,Pricing,366,761,573,209,78,235,40
26,50,Pricing,732,523,"1,045",418,157,470,115
51,100,Pricing,"1,463","1,045","1,829",836,314,941,225
101,250,Pricing,"3,658","2,613","3,658","2,090",784,"2,351",525
251,500,Pricing,"7,315","5,225","7,315","4,180","1,306","4,703","1,120"
501,1000,Pricing,"14,630","10,450","14,630","8,360","2,613","9,405","2,250"
1001,2500,Pricing,"36,575","26,125","36,575","15,675","6,531","23,513","4,720"
2501,5000,Pricing,"73,150","52,250","73,150","31,350","13,063","47,025","10,100"
5001,7500,Pricing,"109,725","78,375","109,725","47,025","19,594","70,538","16,800"
7501,10000,Pricing,"146,300","104,500","146,300","62,700","26,125","94,050","23,600"
10001,15000,Pricing,"219,450","130,625","219,450","94,050","39,188","141,075","30,300"
15001,20000,Pricing,"292,600","156,750","292,600","125,400","52,250","188,100","42,500"
20001,25000,Pricing,"365,750","182,875","365,750","156,750","65,313","235,125","54,600"
25001,30000,Pricing,"438,900","209,000","438,900","188,100","78,375","282,150","66,800"
30001,40000,Pricing,"585,200","261,250","585,200","250,800","104,500","313,500","85,000"
40001,50000,Pricing,"731,500","313,500","731,500","282,150","130,625","339,625","109,000"
50001,100000,Pricing,"783,750","391,875","940,500","313,500","209,000","365,750","182,000"
1,25,Derived,125,78,125,105,125,125,350
26,50,Derived,251,157,251,209,251,251,"1,025"
51,100,Derived,502,314,502,418,502,502,"2,025"
101,250,Derived,"1,254",784,"1,254","1,045","1,254","1,254","4,725"
251,500,Derived,"2,508","1,568","2,508","2,090","2,508","2,508","10,125"
501,1000,Derived,"5,016","3,135","5,016","4,180","5,016","5,016","20,250"
1001,2500,Derived,"12,540","7,838","12,540","10,450","12,540","12,540","42,000"
2501,5000,Derived,"25,080","15,675","25,080","20,900","25,080","25,080","90,000"
5001,7500,Derived,"37,620","23,513","37,620","31,350","37,620","37,620","150,000"
7501,10000,Derived,"50,160","31,350","50,160","41,800","50,160","50,160","210,000"
10001,15000,Derived,"75,240","47,025","75,240","62,700","75,240","75,240","277,500"
15001,20000,Derived,"100,320","62,700","100,320","83,600","100,320","100,320","388,500"
20001,25000,Derived,"125,400","78,375","125,400","104,500","125,400","125,400","499,500"
25001,30000,Derived,"150,480","94,050","150,480","125,400","150,480","150,480","610,500"
30001,40000,Derived,"200,640","109,725","200,640","130,625","200,640","200,640","777,000"
1,25,HistTimeSeries,157,157,157,157,157,157,900
26,50,HistTimeSeries,314,314,314,314,314,314,"2,600"
51,100,HistTimeSeries,627,627,627,627,627,627,"5,200"
101,250,HistTimeSeries,"1,568","1,568","1,568","1,568","1,568","1,568","12,000"
251,500,HistTimeSeries,"3,135","3,135","3,135","3,135","3,135","3,135","26,000"
501,1000,HistTimeSeries,"6,270","6,270","6,270","6,270","6,270","6,270","52,000"
1001,2500,HistTimeSeries,"15,675","15,675","15,675","15,675","15,675","15,675","108,500"
2501,5000,HistTimeSeries,"31,350","31,350","31,350","31,350","31,350","31,350","232,500"
5001,7500,HistTimeSeries,"47,025","47,025","47,025","47,025","47,025","47,025","387,500"
7501,10000,HistTimeSeries,"62,700","62,700","62,700","62,700","62,700","62,700","542,500"
10001,15000,HistTimeSeries,"94,050","94,050","94,050","94,050","94,050","94,050","700,000"
15001,20000,HistTimeSeries,"125,400","125,400","125,400","125,400","125,400","125,400","980,000"
20001,25000,HistTimeSeries,"106,750","106,750","106,750","106,750","106,750","106,750","1,200,000"
25001,30000,HistTimeSeries,"188,100","188,100","188,100","188,100","188,100","188,100","1,540,000"
30001,40000,HistTimeSeries,"250,000","250,000","250,000","250,000","250,000","250,000","1,960,000"
1,25,Snapshot,392,92,287,92,92,40,40
26,50,Snapshot,557,183,575,183,181,78,115
51,100,Snapshot,"1,097",366,"1,138",366,358,154,225
101,250,Snapshot,"2,704",905,"2,616",905,805,376,525
251,500,Snapshot,"5,330","1,792","5,173","1,792","1,609",745,"1,120"
501,1000,Snapshot,"10,502","3,621","10,231","3,621","3,219","1,473","2,250"
1001,2500,Snapshot,"25,864","9,053","23,852","9,053","8,047","3,605","4,720"
2501,5000,Snapshot,"50,944","18,105","46,555","18,105","16,093","7,054","10,100"
5001,7500,Snapshot,"75,240","27,157","68,970","27,157","24,140","10,581","16,800"
7501,10000,Snapshot,"98,753","36,209","89,661","36,209","32,186","13,951","23,600"
10001,15000,Snapshot,"145,778","54,314","127,595","54,314","48,279","17,634","30,300"
15001,20000,Snapshot,"188,100","72,419","165,528","71,687","64,372","21,005","42,500"
20001,25000,Snapshot,"227,288","82,294","201,163","81,379","80,465","24,296","54,600"
25001,30000,Snapshot,"272,745","91,620","234,498","90,523","96,558","27,275","66,800"
30001,40000,Snapshot,"326,040","100,216","294,272","99,484","128,744","33,858","85,000"
40001,50000,Snapshot,"376,200","109,725","316,113","107,896","160,930","40,755","109,000"
1,25,Security Ownership,183,52,131,52,42,26,350
26,50,Security Ownership,366,105,261,105,84,52,"1,025"
51,100,Security Ownership,732,209,523,209,167,105,"2,025"
101,250,Security Ownership,"1,829",523,"1,306",523,418,261,"4,725"
251,500,Security Ownership,"3,658","1,045","2,613","1,045",836,523,"10,125"
501,1000,Security Ownership,"7,315","2,090","5,225","2,090","1,672","1,045","20,250"
1001,2500,Security Ownership,"18,288","5,225","13,063","5,225","4,180","2,613","42,000"
2501,5000,Security Ownership,"36,575","10,450","26,125","10,450","8,360","5,225","90,000"
5001,7500,Security Ownership,"54,863","15,675","39,188","15,675","12,540","7,838","150,000"
7501,10000,Security Ownership,"73,150","20,900","52,250","20,900","16,720","10,450","210,000"
10001,15000,Security Ownership,"109,725","31,350","78,375","31,350","25,080","13,063","277,500"
15001,20000,Security Ownership,"146,300","41,800","104,500","41,800","33,440","15,675","388,500"
20001,25000,Security Ownership,"182,875","47,025","130,625","47,025","41,800","18,288","499,500"
25001,30000,Security Ownership,"219,450","52,250","156,750","52,250","50,160","20,900","610,500"
30001,40000,Security Ownership,"266,475","57,475","209,000","57,475","66,880","26,125","777,000"
40001,50000,Security Ownership,"313,500","62,700","235,125","62,700","83,600","31,350","999,000"
