lower,upper,Fundamentals,Estimates,CorporateActions,CANS,CorporateStructure,CapitalStructure,RegulatoryCompliance,DefaultRisk,Funds.Segmentation,HighQualityLqdAssets/HQLA,IFRS9SPPI,InvestorProtection,LiquidityAssessment/LQA,MiFIR,Solvency,RegSSFA,Security Ownership,Snapshot,SupplyChain,USWithholdingTax,BasicTax,CBE,Classifications,CollateralTagging,CoveredFundsCLO,ESG,ExpectedCreditLoss,Funds.Expanded,Funds.Indus Specif
1,25,209,523,84,"12,707",523,84,84,750,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209
26,50,376,"1,045",167,"12,874","1,045",151,167,"1,500",376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376
51,100,752,"2,090",334,"13,209","2,090",334,334,"3,000",752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752
101,250,"1,881","5,225",836,"14,212","5,225",836,836,"7,500","1,881","1,881","1,881","1,881","1,881","1,881","1,881","1,881","1,881","1,881","1,881","1,881","1,881","1,881","1,881","1,881","1,881","1,881","1,881","1,881","1,881"
251,500,"3,762","10,450","1,672","15,884","10,450","1,672","1,672","15,000","3,762","3,762","3,762","3,762","3,762","3,762","3,762","3,762","3,762","3,762","3,762","3,762","3,762","3,762","3,762","3,762","3,762","3,762","3,762","3,762","3,762"
501,1000,"7,524","20,900","3,344","19,228","20,900","3,344","3,344","29,700","7,524","7,524","7,524","7,524","7,524","7,524","7,524","7,524","7,524","7,524","7,524","7,524","7,524","7,524","7,524","7,524","7,524","7,524","7,524","7,524","7,524"
1001,2500,"15,675","52,250","8,360","29,260","52,250","8,360","8,360","40,050","15,675","15,675","15,675","15,675","15,675","15,675","15,675","15,675","15,675","15,675","15,675","15,675","15,675","15,675","15,675","15,675","15,675","15,675","15,675","15,675","15,675"
2501,5000,"31,350","62,700","16,720","47,025","104,500","16,720","16,720","80,250","31,350","31,350","31,350","31,350","31,350","31,350","31,350","31,350","31,350","31,350","31,350","31,350","31,350","31,350","31,350","31,350","31,350","31,350","31,350","31,350","31,350"
5001,7500,"47,025","73,150","25,080","78,375","156,750","25,080","25,080","93,375","47,025","47,025","47,025","47,025","47,025","47,025","47,025","47,025","47,025","47,025","47,025","47,025","47,025","47,025","47,025","47,025","47,025","47,025","47,025","47,025","47,025"
7501,10000,"62,700","83,600","33,440","109,725","209,000","33,440","33,440","105,000","62,700","62,700","62,700","62,700","62,700","62,700","62,700","62,700","62,700","62,700","62,700","62,700","62,700","62,700","62,700","62,700","62,700","62,700","62,700","62,700","62,700"
10001,15000,"78,375","94,050","50,160","156,750","235,125","50,160","50,160","128,250","78,375","78,375","78,375","78,375","78,375","78,375","78,375","78,375","78,375","78,375","78,375","78,375","78,375","78,375","78,375","78,375","78,375","78,375","78,375","78,375","78,375"
15001,20000,"83,600","104,500","66,880","219,450","261,250","66,880","66,880","150,000","83,600","83,600","83,600","83,600","83,600","83,600","83,600","83,600","83,600","83,600","83,600","83,600","83,600","83,600","83,600","83,600","83,600","83,600","83,600","83,600","83,600"
20001,25000,"88,825","114,950","83,600","282,150","287,375","83,600","83,600","165,000","88,825","88,825","88,825","88,825","88,825","88,825","88,825","88,825","88,825","88,825","88,825","88,825","88,825","88,825","88,825","88,825","88,825","88,825","88,825","88,825","88,825"
25001,30000,"94,050","125,400","100,320","344,850","313,500","100,320","100,320","175,500","94,050","94,050","94,050","94,050","94,050","94,050","94,050","94,050","94,050","94,050","94,050","94,050","94,050","94,050","94,050","94,050","94,050","94,050","94,050","94,050","94,050"
30001,40000,"99,275","135,850","133,760","438,900","339,625","133,760","133,760","192,000","99,275","99,275","99,275","99,275","99,275","99,275","99,275","99,275","99,275","99,275","99,275","99,275","99,275","99,275","99,275","99,275","99,275","99,275","99,275","99,275","99,275"
40001,50000,"104,500","146,300","156,750","564,300","365,750","156,750","156,750","202,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500"
50001,100000,"109,725","156,750","167,200","940,500","391,875","167,200","167,200","247,500","109,725","109,725","109,725","109,725","109,725","109,725","109,725","109,725","109,725","109,725","109,725","109,725","109,725","109,725","109,725","109,725","109,725","109,725","109,725","109,725","109,725"
